Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,X90sPlayed,Goals,Ast,xG,xA,SoT.,Sh.90,SoT.90,CmpPass,CmpPass.,PPA,Prog,Touches,SuccDrib,SuccDrib.,Carries,CarryToBox,SCA,GCA,GCADrib,GCASh
Florian Grillitsch,AUT,MFDF,Hoffenheim,Bundesliga,24,1995,26,22,1879,20.9,0.1,0.05,0.1,0.08,45,0.96,0.43,58,85.8,1.48,6.46,79.1,0.91,82.6,52.2,0.14,2.01,0.33,0.05,0
Ibrahima Traoré,GUI,FWDF,M'Gladbach,Bundesliga,32,1988,7,1,98,1.1,0,0,0,0.18,0,0,0,30,66,0.91,2.73,57.3,0.91,33.3,32.7,1.82,0.91,0,0,0
Łukasz Piszczek,POL,DF,Dortmund,Bundesliga,35,1985,11,5,455,5.1,0,0,0,0.06,0,0.2,0,47.1,77.9,0.78,3.53,68,0.39,50,40.8,0,1.37,0.2,0,0
Kevin Vázquez,ESP,DF,Celta Vigo,La Liga,27,1993,8,5,562,6.2,0,0,0,0,0,0.16,0,43.9,76.8,0.32,2.58,69.5,0.65,50,36.3,0.16,0.81,0.16,0,0
Naby Keïta,GUI,MF,Liverpool,Premier League,25,1995,10,7,520,5.8,0,0,0.09,0.14,22.2,1.56,0.35,53.6,87.4,1.72,5.52,73.4,2.07,80,51.9,0.34,2.59,0.17,0,0
Matteo Lovato,ITA,DF,Hellas Verona,Seria A,20,2000,24,14,1386,15.4,0,0,0.01,0.01,0,0.06,0,33.3,81.2,0.13,1.82,51.4,0.19,60,27.7,0,0.58,0,0,0
Federico Fernández,ARG,DF,Newcastle Utd,Premier League,31,1989,24,24,2079,23.1,0,0,0.01,0.01,60,0.22,0.13,29,80.2,0.13,0.82,48.2,0,0,23.8,0,0.48,0,0,0
Nathan de Medina,BEL,DF,Arminia,Bundesliga,22,1997,16,7,639,7.1,0,0.14,0,0.08,0,0,0,29.6,66.5,0.56,1.83,58.5,0.7,50,26.6,0.14,0.7,0.14,0,0
Wout Faes,BEL,DF,Reims,Ligue 1,22,1998,33,33,2899,32.2,0.03,0,0.02,0,12.5,0.25,0.03,44,87.4,0.09,2.3,61.4,0.4,81.3,39.5,0.03,0.34,0.03,0,0.03
Vincent Laurini,FRA,DF,Parma,Seria A,31,1989,14,10,870,9.7,0,0,0,0.01,0,0.1,0,41.2,78.9,1.13,4.54,60.2,0.1,33.3,31.4,0,1.03,0.21,0,0
Martin Agirregabiria,ESP,DFMF,Alavés,La Liga,24,1996,26,16,1558,17.3,0,0.06,0.01,0.05,0,0.12,0,30.1,71.5,0.92,2.6,51,0.23,50,23.8,0.12,1.33,0.17,0,0
Giuseppe Mastinu,ITA,FWMF,Spezia,Seria A,28,1991,3,0,32,0.4,0,0,0,0,0,0,0,22.5,75,0,2.5,47.5,2.5,50,25,0,2.5,0,0,0
Paolo Faragò,ITA,DF,Bologna,Seria A,27,1993,1,0,23,0.3,0,0,0.33,0,0,0.73,0,36.7,84.6,3.33,6.67,68.5,0.49,33.3,37.3,0.24,1.95,0,0,0
Gaëtan Paquiez,FRA,DF,Nîmes,Ligue 1,26,1994,16,11,1046,11.6,0,0,0.01,0.02,0,0.43,0,31.6,78.1,0.43,4.05,50.9,0.52,42.9,22.4,0.09,1.03,0,0,0
Federico Fazio,ARG,DF,Roma,Seria A,33,1987,6,5,406,4.5,0.22,0,0.04,0,66.7,0.67,0.44,59.8,87.6,0.44,4.22,81.1,0.67,75,49.1,0,0.67,0,0,0
Diego Costa,ESP,FW,Atlético Madrid,La Liga,31,1988,7,2,208,2.3,0.87,0,0.61,0.13,50,1.73,0.87,24.3,76.7,1.74,1.74,43,0,0,22.2,1.3,3.33,1.11,0,0
Lukas Klünter,GER,DF,Hertha BSC,Bundesliga,24,1996,11,11,990,11,0,0,0,0.03,0,0,0,37.1,76.8,0.55,2.55,56.7,0.55,66.7,36.8,0,0.73,0.27,0,0
Matt Ritchie,SCO,DFMF,Newcastle Utd,Premier League,30,1989,18,15,1350,15,0,0.13,0.03,0.1,9.1,0.73,0.07,27.4,67.7,1.2,2.47,50.3,0.4,75,25.1,0.07,2.67,0.27,0,0
