Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,X90sPlayed,Goals,Ast,xG,xA,SoT.,Sh.90,SoT.90,CmpPass,CmpPass.,PPA,Prog,Touches,SuccDrib,SuccDrib.,Carries,CarryToBox,SCA,GCA,GCADrib,GCASh
Percy Tau,RSA,FWMF,Brighton,Premier League,26,1994,3,1,103,1.1,0,0.91,0,0.27,0,0,0,20,75.9,0.91,1.82,38.2,2.73,100,28.2,0.91,4.55,0.91,0,0
Pepe Reina,ESP,GK,Lazio,Seria A,37,1982,29,29,2610,29,0,0,0,0,0,0,0,31.5,81.6,0.03,0.03,40.5,0.03,100,24.1,0,0.03,0,0,0
Thiago Silva,BRA,DF,Chelsea,Premier League,35,1984,23,23,1935,21.5,0.09,0,0.05,0.01,30.8,0.6,0.19,81.3,93.5,0.33,3.63,96.6,0.09,66.7,67.6,0,0.84,0.05,0,0
Emiliano Martínez,ARG,GK,Aston Villa,Premier League,27,1992,38,38,3420,38,0,0,0,0.01,0,0,0,22.3,65.6,0.03,0,36.3,0,0,17.2,0,0.16,0.03,0,0
Nico Schulz,GER,DF,Dortmund,Bundesliga,27,1993,13,6,610,6.8,0,0,0.01,0.04,0,0.3,0,56,82.5,0.88,4.85,79.6,0,0,50.7,0.59,1.76,0.59,0,0
Luiz Felipe,BRA,DF,Lazio,Seria A,23,1997,14,10,909,10.1,0,0,0.02,0.02,0,0.3,0,49.5,91.6,0.2,2.77,65.4,0.2,100,42.8,0,0.69,0,0,0
Niklas Tauer,GER,MFDF,Mainz 05,Bundesliga,19,2001,5,0,69,0.8,0,0,0,0,0,0,0,21.3,63,1.25,3.75,46.3,0,0,13.8,0,1.25,0,0,0
Bilal Benkhedim,FRA,FW,Saint-Étienne,Ligue 1,19,2001,3,1,73,0.8,0,0,0,0.25,0,0,0,41.3,67.3,0,0,73.8,2.5,100,50,0,0,0,0,0
Demarai Gray,ENG,FW,Leicester City,Premier League,24,1996,1,0,19,0.2,0,0,0.5,0,0,4.74,0,35,63.6,0,0,80,0,0,65,0,0,0,0,0
Mamadou Sakho,FRA,DF,Crystal Palace,Premier League,30,1990,4,3,276,3.1,0,0,0,0,0,0.33,0,23.2,87.8,0,0.97,34.8,0,0,16.1,0,0,0,0,0
Habib Keita,MLI,MF,Lyon,Ligue 1,18,2002,1,0,6,0.1,0,0,4,0,0,15,0,30,100,10,10,60,0,0,20,0,0,0,0,0
Samir Handanović,SVN,GK,Inter,Seria A,36,1984,37,37,3240,36,0,0,0,0,0,0,0,26.1,86.1,0,0,31.7,0,0,17.3,0,0.08,0.03,0,0
Alessandro Di Pardo,ITA,MFDF,Juventus,Seria A,21,1999,4,0,14,0.2,0,0,0,0,0,0,0,25,55.6,0,5,50,10,100,50,0,6.21,0.92,0.1,0.05
Abdallahi Mahmoud,MTN,MF,Alavés,La Liga,20,2000,2,1,66,0.7,0,0,0,0,0,0,0,18.6,72.2,0,0,34.3,0,0,17.1,0,1.43,0,0,0
Fabian Delph,ENG,MFDF,Everton,Premier League,30,1989,8,2,266,3,0,0,0,0.03,0,0.34,0,68.7,88,0.33,5,88,2.67,66.7,66,0,3.7,0.54,0.04,0.04
Luisinho,POR,DF,Huesca,La Liga,35,1985,5,2,179,2,0,0,0,0,0,0.5,0,50,84,0.5,4,71,0.5,100,42.5,0,1,0,0,0
Rafał Gikiewicz,POL,GK,Augsburg,Bundesliga,32,1987,34,34,3060,34,0,0,0,0,0,0,0,28.6,69.6,0.03,0.03,44.1,0.03,100,22.7,0,0.09,0.03,0,0
Bouna Sarr,SEN,DF,Bayern Munich,Bundesliga,28,1992,8,5,452,5,0,0.2,0.02,0.02,0,1.18,0,68,88.3,0.8,6.8,95,2.5,50,63.8,0,0,0,0,0
Manuel Locatelli,ITA,MF,Sassuolo,Seria A,22,1998,34,32,2883,32,0.13,0.06,0.13,0.11,22,1.28,0.28,76.1,87.5,1.19,8.31,99,0.75,66.7,69.2,0.28,2.69,0.31,0,0
Kiko Casilla,ESP,GK,Leeds United,Premier League,33,1986,3,3,270,3,0,0,0,0,0,0,0,27.3,87.2,0,0,34.7,0,0,14.7,0,1.25,0.08,0,0
Niccolò Manfredini,ITA,GK,Benevento,Seria A,32,1988,1,1,90,1,0,0,0,0,0,0,0,25,80.6,0,0,33,0,0,15,0,0,0,0,0
Sacha Delaye,FRA,MF,Montpellier,Ligue 1,18,2002,1,0,7,0.1,0,0,0,0,0,0,0,20,100,0,0,40,0,0,20,0,2.48,0.2,0,0
Dante,BRA,DF,Nice,Ligue 1,36,1983,9,9,774,8.6,0.23,0.12,0.07,0.02,33.3,0.7,0.23,73.3,90.6,0.35,3.6,88,0,0,64,0,1.25,0,0,0
Alfred Gomis,SEN,GK,Rennes,Ligue 1,26,1993,22,22,1980,22,0,0,0,0,0,0,0,24.3,80,0,0.05,32.7,0,0,15.2,0,0.14,0,0,0
Nikola Maksimović,SRB,DF,Napoli,Seria A,28,1991,17,12,1207,13.4,0,0,0.03,0.01,20,0.37,0.07,66.3,93.8,0,3.13,80.6,0.3,100,50.8,0.07,0.6,0,0,0
Loris Mouyokolo,CGO,DF,Lorient,Ligue 1,19,2001,1,0,19,0.2,0,0,0,0,0,0,0,15,50,0,0,45,0,0,30,0,0,0,0,0
Alberto Paleari,ITA,GK,Genoa,Seria A,27,1992,3,2,206,2.3,0,0,0,0,0,0,0,21.7,64.1,0,0,37,0,0,16.5,0,0,0,0,0
Baptiste Reynet,FRA,GK,Nîmes,Ligue 1,29,1990,38,38,3420,38,0,0,0,0.02,0,0.05,0,28.1,67.4,0.03,0.03,44.9,0.03,100,22.6,0,0.16,0.03,0,0
Christophe Hérelle,MTQ,DF,Brest,Ligue 1,27,1992,16,15,1377,15.3,0,0,0.04,0,0,0.39,0,51.2,89.7,0.13,3.2,67.3,0.2,100,44.7,0,0.65,0,0,0
Ismael Aaneba,FRA,FWDF,Strasbourg,Ligue 1,21,1999,2,0,11,0.1,0,0,0,0,0,0,0,20,100,0,0,40,0,0,20,0,0,0,0,0
Marco Bertini,ITA,MF,Lazio,Seria A,17,2002,1,0,5,0.1,0,0,0,0,0,0,0,20,100,0,0,40,0,0,20,0,0,0,0,0
Nathaniel Phillips,ENG,DF,Liverpool,Premier League,23,1997,17,15,1456,16.2,0.06,0.06,0.07,0.02,7.7,0.8,0.06,57,87.2,0.12,3.7,79.3,0.06,100,47.9,0.06,0.68,0.06,0,0.06
Adrián Marín,ESP,DFMF,Alavés,La Liga,23,1997,5,1,93,1,0,0,0.1,0.5,0,0.33,0,40,74.1,1,10,52.3,1,100,20.7,0,1.67,0.67,0,0
Caoimhín Kelleher,IRL,GK,Liverpool,Premier League,21,1998,2,2,180,2,0,0,0,0,0,0,0,25.5,82.3,0,0,34,0,0,14,0,0,0,0,0
Tomáš Vaclík,CZE,GK,Sevilla,La Liga,31,1989,5,5,450,5,0,0,0,0,0,0,0,24,82.2,0,0,31,0,0,16.6,0,0,0,0,0
Jesús Vallejo,ESP,DF,Granada,La Liga,23,1997,21,15,1348,15,0,0,0.01,0,0,0.07,0,24.3,75.7,0.2,2,42.3,0.27,100,21.7,0,0.33,0.07,0,0
Iñigo Córdoba,ESP,MF,Alavés,La Liga,23,1997,7,3,216,2.4,0,0,0,0.13,0,0.42,0,20.4,63.6,1.67,2.08,47.9,1.25,100,25.8,0.42,0,0,0,0
Alex Cordaz,ITA,GK,Crotone,Seria A,37,1983,36,36,3240,36,0,0,0,0,0,0,0,28.9,72.1,0,0.03,42.4,0.03,100,21.5,0,1.65,0.04,0,0
Fede San Emeterio,ESP,MF,Valladolid,La Liga,23,1997,24,17,1460,16.2,0,0,0.01,0.01,0,0.18,0,26.7,78.4,0.12,1.98,43,0.19,100,20.5,0,0.56,0,0,0
Edouard Mendy,SEN,GK,Chelsea,Premier League,28,1992,31,31,2745,30.5,0,0,0,0,0,0,0,27.9,84.6,0,0,30,0,0,17,0,1,0,0,0
Tristan Dingomé,CMR,MF,Reims,Ligue 1,29,1991,1,0,15,0.2,0,0,0,0,0,0,0,55,73.3,0,0,80,0,0,55,0,0,0,0,0
Edoardo Vergani,ITA,FW,Bologna,Seria A,19,2001,1,0,12,0.1,0,0,0,0,0,0,0,20,100,0,0,30,0,0,30,0,0,0,0,0
Lautaro Valenti,ARG,DF,Parma,Seria A,21,1999,11,6,499,5.5,0,0,0.02,0,0,0.72,0,49.6,81.7,0.18,2.18,73.3,0.36,100,45.8,0.18,0.36,0,0,0
Hamza Mendyl,MAR,FWDF,Schalke 04,Bundesliga,22,1997,3,1,95,1.1,0,0,0.09,0,0,1.89,0,20.9,79.3,0,4.55,39.1,1.82,100,24.5,0,0,0,0,0
Ander Herrera,ESP,MF,Paris S-G,Ligue 1,30,1989,31,18,1851,20.6,0.05,0.15,0.06,0.13,19,1.02,0.19,77.2,90.9,1.07,6.6,95.7,0.78,69.6,66.8,0,2.52,0.34,0,0
Jesé,ESP,FW,Paris S-G,Ligue 1,27,1993,2,0,24,0.3,0,0,0,0,0,0,0,13.3,50,0,0,40,0,0,36.7,0,0,0,0,0
Cenk Tosun,TUR,FW,Everton,Premier League,29,1991,5,0,48,0.5,0,0,0,0.2,0,0,0,16,80,0,0,28,0,0,22,2,4,2,0,0
Danilo,BRA,DF,Juventus,Seria A,29,1991,34,32,2916,32.4,0.03,0.12,0.04,0.11,11.1,0.56,0.06,67.7,88.3,1.02,5.4,84.8,0.62,90.9,58,0.15,0.85,0,0,0
Manuel Neuer,GER,GK,Bayern Munich,Bundesliga,34,1986,33,33,2970,33,0,0,0,0.01,0,0,0,34.5,86.3,0,0.12,42,0.06,100,22,0,0.12,0,0,0
Jonathan Tah,GER,DF,Leverkusen,Bundesliga,24,1996,27,24,2219,24.7,0.04,0,0.03,0,20,0.41,0.08,71.8,90.9,0.2,4.25,90.2,0.28,87.5,62.3,0.04,0.2,0,0,0
Marcel Halstenberg,GER,DF,RB Leipzig,Bundesliga,28,1991,24,19,1651,18.3,0.11,0.11,0.1,0.14,30.8,0.71,0.22,78.6,87.8,1.09,8.25,98.7,0.93,73.9,67,0.16,2.9,0.22,0,0
Nolan Roux,FRA,FW,Nîmes,Ligue 1,32,1988,19,6,651,7.2,0,0,0.07,0.04,10,1.38,0.14,14.4,67.5,0.69,0.83,31.1,0.42,100,18.2,0.28,0.97,0,0,0
Timo Horn,GER,GK,Köln,Bundesliga,27,1993,34,34,3009,33.4,0,0,0,0,0,0,0,29.2,73.5,0.03,0,42.2,0.09,100,20.6,0,0.12,0,0,0
Luigi Sepe,ITA,GK,Parma,Seria A,29,1991,36,36,3240,36,0,0,0,0,0,0,0,31.5,78.4,0,0.03,41.9,0.06,100,20.1,0,0,0,0,0
Daniel Fuzato,BRA,GK,Roma,Seria A,23,1997,5,5,450,5,0,0,0,0,0,0,0,22.6,73.9,0,0,33.2,0,0,14.4,0,0,0,0,0
Habib Diallo,SEN,FW,Metz,Ligue 1,25,1995,4,1,143,1.6,0,0,0.25,0.19,0,1.26,0,13.1,58.3,1.88,2.5,40,0,0,21.3,0,1.94,0.39,0,0.16
Daniele Rugani,ITA,DF,Cagliari,Seria A,26,1994,16,12,1001,11.1,0.09,0.09,0.04,0.04,100,1,1,35.6,79.8,0.18,2.34,70,1,100,55,0,0,0,0,0
Tim Maciejewski,GER,MF,Union Berlin,Bundesliga,19,2001,1,0,8,0.1,0,0,0,0,0,0,0,20,66.7,0,0,30,0,0,20,0,0,0,0,0
Dominik Kohr,GER,MFFW,Eint Frankfurt,Bundesliga,26,1994,7,2,260,2.9,0,0,0.17,0,0,1.73,0,45.9,76.9,0.34,7.93,77.6,1.03,100,41.4,0.34,1.38,0,0,0
Jessy Moulin,FRA,GK,Saint-Étienne,Ligue 1,34,1986,29,29,2610,29,0,0,0,0,0,0,0,21.9,72,0,0,32.6,0,0,15,0,0.03,0,0,0
José Antonio Miranda,EQG,MFDF,Getafe,La Liga,22,1998,4,0,26,0.3,0,0,0.67,0,0,6.92,0,30,56.3,0,0,83.3,0,0,56.7,3.33,0.93,0.17,0,0
Miguel Gutiérrez,ESP,DF,Real Madrid,La Liga,19,2001,6,3,316,3.5,0,0.29,0,0.06,0,0,0,71.1,88.9,2,3.14,91.7,1.43,45.5,67.7,0.57,2,0.29,0,0
Jorginho,ITA,MF,Chelsea,Premier League,28,1991,28,23,2010,22.3,0.31,0.04,0.31,0.09,0,0.27,0,69.9,89.5,0.9,5.16,88.1,0.81,72,59.7,0.09,2.29,0.13,0,0
Michael Obafemi,IRL,FW,Southampton,Premier League,20,2000,4,0,61,0.7,0,0,0,0.14,0,0,0,18.6,86.7,0,1.43,31.4,0,0,17.1,0,1.43,0,0,0
Salvatore Sirigu,ITA,GK,Torino,Seria A,33,1987,32,32,2880,32,0,0,0,0,0,0,0,22.1,70,0,0,33.5,0,0,14.5,0,0.09,0,0,0
Dan-Axel Zagadou,FRA,DF,Dortmund,Bundesliga,21,1999,9,3,276,3.1,0,0,0,0,100,0.33,0.33,67.4,86.4,0,0.97,87.7,0.65,66.7,62.9,0,0,0,0,0
Lorenzo Montipò,ITA,GK,Benevento,Seria A,24,1996,37,37,3330,37,0,0,0,0,0,0,0,21.2,63.6,0,0.05,36.4,0,0,15.4,0,0.03,0,0,0
Víctor Ruiz,ESP,DF,Betis,La Liga,31,1989,27,24,2157,24,0.08,0,0.05,0,100,0.17,0.17,45.8,88.2,0.17,2.79,61.5,0.17,100,37.2,0,0.21,0,0,0
Florian Flick,GER,MF,Schalke 04,Bundesliga,20,2000,4,4,360,4,0.25,0,0.13,0,100,0.25,0.25,22.8,82.7,0.75,2.5,37,0,0,17.5,0,0.75,0.25,0,0
Jan Luca Schuler,GER,FW,Schalke 04,Bundesliga,21,1999,2,0,40,0.4,0,0,0.25,0,0,2.25,0,17.5,53.8,0,0,52.5,0,0,17.5,0,0,0,0,0
Nishan Burkart,SUI,MF,Freiburg,Bundesliga,20,2000,1,0,15,0.2,0,0,0,0,0,0,0,20,66.7,0,0,40,5,100,25,0,1.9,0.33,0.07,0
Sidnei Tavares,POR,MF,Leicester City,Premier League,18,2001,2,1,85,0.9,0,0,0.11,0,100,1.06,1.06,21.1,73.1,0,1.11,42.2,1.11,100,31.1,0,1.11,0,0,0
Gregor Kobel,SUI,GK,Stuttgart,Bundesliga,22,1997,33,33,2970,33,0,0,0,0,0,0,0,30.2,82.1,0.03,0.03,39.3,0.03,100,20.1,0,0.03,0,0,0
Fikayo Tomori,ENG,DF,Chelsea,Premier League,22,1997,1,0,45,0.5,0,0,0,0,0,0,0,54,93.1,0,0,82,0,0,42,0,0,0,0,0
Bingourou Kamara,SEN,GK,Strasbourg,Ligue 1,23,1996,8,8,720,8,0,0,0,0,0,0,0,20.8,67.2,0,0,33.1,0,0,15.5,0,0.5,0,0,0
Iván Villar,ESP,GK,Celta Vigo,La Liga,23,1997,21,19,1781,19.8,0,0,0,0,0,0,0,20.5,59.2,0,0,37.9,0,0,16.8,0,0,0,0,0
Alfred Gomis,SEN,GK,Dijon,Ligue 1,26,1993,5,5,450,5,0,0,0,0,0,0,0,24,63.8,0,0,41.4,0,0,11.4,0,0,0,0,0
Marco Sportiello,ITA,GK,Atalanta,Seria A,28,1992,15,13,1261,14,0,0,0,0,0,0,0,22.4,83.7,0,0,29.1,0,0,16.4,0,0,0,0,0
Juan Brunet,ARG,MF,Granada,La Liga,22,1998,2,0,24,0.3,0,0,0,0,0,0,0,23.3,87.5,0,3.33,33.3,0,0,13.3,0,2.78,0.17,0,0
Kamil Grosicki,POL,FWMF,West Brom,Premier League,32,1988,3,2,148,1.6,0,0.63,0.06,0.06,0,1.82,0,20,65.3,0.63,3.13,38.1,0.63,100,26.3,1.25,3.13,1.25,0,0
Sidnei,BRA,DF,Betis,La Liga,30,1989,11,7,697,7.7,0,0,0.03,0,0,0.13,0,60,90.6,0.13,1.43,76.8,0,0,50.4,0,0,0,0,0
Samir Ujkani,KVX,GK,Torino,Seria A,32,1988,1,1,90,1,0,0,0,0,0,0,0,23,82.1,0,0,30,0,0,15,0,0,0,0,0
Jordan Holsgrove,SCO,MF,Celta Vigo,La Liga,20,1999,5,0,145,1.6,0,0,0.06,0,0,0.62,0,57.5,88.5,0,1.88,77.5,0,0,58.8,0,1.25,0,0,0
Marc Cardona,ESP,FWMF,Osasuna,La Liga,25,1995,3,0,53,0.6,0,0,0.33,0,100,1.7,1.7,28.3,60.7,1.67,6.67,53.3,1.67,100,31.7,1.67,2.04,0.13,0.04,0
Panagiotis Retsos,GRE,DF,Saint-Étienne,Ligue 1,21,1998,4,4,272,3,0,0,0,0.03,0,0.33,0,53.7,86.1,0.33,3,71.7,1.33,100,46.3,0,1,0,0,0
Pablo Marí,ESP,DF,Arsenal,Premier League,26,1993,10,10,900,10,0,0,0,0,0,0.2,0,53.7,90.7,0,1.9,67.9,0.3,100,48.4,0,0.2,0,0,0
Finn Dahmen,GER,GK,Mainz 05,Bundesliga,22,1998,3,3,270,3,0,0,0,0,0,0,0,22.3,77.9,0,0,32,0,0,13,0,1.46,0.2,0,0
Aridane Hernández,EQG,DF,Osasuna,La Liga,31,1989,24,24,2026,22.5,0,0,0,0.02,0,0.09,0,25,82,0.09,1.64,42.8,0.22,100,17.9,0,0.36,0,0,0
Marvin Tshibuabua,FRA,DF,Saint-Étienne,Ligue 1,18,2002,1,0,43,0.5,0,0,0.2,0,0,2.09,0,30,88.2,0,0,54,2,100,16,0,0,0,0,0
Unai García,ESP,DF,Osasuna,La Liga,28,1992,17,13,1242,13.8,0,0,0.04,0.01,0,0.29,0,23.9,78.4,0.14,1.88,39,0.29,100,19.6,0,0.58,0.07,0,0
Joel Mumbongo,SWE,FW,Burnley,Premier League,21,1999,4,0,40,0.4,0,0,0,0,0,0,0,12.5,83.3,0,0,27.5,0,0,22.5,0,0,0,0,0
Emmanuel Amankwaa Akurugu,GHA,DF,Getafe,La Liga,18,2001,1,0,45,0.5,0,0,0,0,0,0,0,16,66.7,0,2,34,0,0,16,0,1.54,0,0,0
Héctor Herrera,MEX,MF,Atlético Madrid,La Liga,30,1990,16,8,682,7.6,0,0.13,0.03,0.04,14.3,0.92,0.13,78.4,89.2,1.05,7.5,97.9,0.39,60,65.8,0.13,2.24,0.39,0,0.13
Gautier Larsonneur,FRA,GK,Brest,Ligue 1,23,1997,35,35,3150,35,0,0,0,0,0,0,0,28.7,79.5,0,0,38.9,0.03,100,19,0,0.06,0,0,0
Francesco Magnanelli,ITA,MF,Sassuolo,Seria A,35,1984,10,7,440,4.9,0,0,0.02,0.06,0,0.41,0,72.4,85.1,0.41,5.71,95.1,0.2,50,61.8,0,0.82,0,0,0
Alexander Schwolow,GER,GK,Hertha BSC,Bundesliga,28,1992,26,26,2340,26,0,0,0,0,0,0,0,27.9,79.1,0,0.04,37.7,0.04,100,19.8,0,0.08,0,0,0
Christopher Scott,GER,FW,Bayern Munich,Bundesliga,18,2002,2,0,34,0.4,0,0,0,0,0,2.65,0,15,75,0,2.5,35,2.5,100,27.5,0,0,0,0,0
Zack Steffen,USA,GK,Manchester City,Premier League,25,1995,1,1,90,1,0,0,0,0,0,0,0,23,82.1,0,0,29,0,0,15,0,0,0,0,0
Cheick Souaré,FRA,MF,Marseille,Ligue 1,17,2002,1,0,10,0.1,0,0,0,0,0,0,0,20,66.7,10,10,60,0,0,10,0,0,0,0,0
David Ospina,COL,GK,Napoli,Seria A,31,1988,16,16,1440,16,0,0.06,0,0.01,0,0,0,27.6,82,0,0,35.4,0.06,100,21.4,0,0.31,0.06,0,0
Víctor Chust,ESP,DF,Real Madrid,La Liga,20,2000,2,1,95,1.1,0,0,0,0,0,0,0,59.1,92.9,0,1.82,79.1,0,0,42.7,0,2.5,0.83,0,0
Giorgi Kochorashvili,GEO,MF,Levante,La Liga,21,1999,3,0,23,0.3,0,0,0,0,0,3.91,0,20,50,0,3.33,53.3,3.33,100,40,0,3.33,0,0,0
Kayne Ramsey,ENG,DF,Southampton,Premier League,19,2000,1,1,90,1,0,0,0,0,0,0,0,18,69.2,0,0,35,0,0,13,0,0,0,0,0
Ciprian Tătărușanu,ROU,GK,Milan,Seria A,34,1986,1,1,90,1,0,0,0,0,0,0,0,24,88.9,0,0,30,0,0,15,0,0,0,0,0
Gary Medel,CHI,DFMF,Bologna,Seria A,32,1987,11,6,511,5.7,0,0.18,0,0.04,0,0,0,54.9,92.1,0.18,3.33,67.9,0.35,100,43,0,0.7,0.18,0,0
Kevin Rüegg,SUI,DFMF,Hellas Verona,Seria A,21,1998,7,1,205,2.3,0,0,0,0,100,0.44,0.44,24.3,68.3,0.43,0.87,45.7,1.74,100,25.7,0,0.43,0.43,0,0
Bartłomiej Drągowski,POL,GK,Fiorentina,Seria A,22,1997,36,36,3148,35,0,0.03,0,0,0,0,0,19.9,65.5,0.03,0,32.8,0,0,14.5,0,0.06,0.03,0,0
Alex Meret,ITA,GK,Napoli,Seria A,23,1997,22,22,1980,22,0,0,0,0,0,0,0,24.5,88.8,0,0,29.5,0,0,14.6,0,0.09,0,0,0
Gianluigi Donnarumma,ITA,GK,Milan,Seria A,21,1999,37,37,3330,37,0,0,0,0,0,0,0,26.4,78.5,0,0.03,36.2,0.05,100,19.3,0,0.16,0,0,0
Steve Mandanda,FRA,GK,Marseille,Ligue 1,35,1985,37,37,3330,37,0,0,0,0,0,0,0,25.5,71.1,0.03,0,37.9,0.08,100,19.4,0,0.05,0,0,0
Manuel Akanji,SUI,DF,Dortmund,Bundesliga,25,1995,28,26,2350,26.1,0.08,0,0.07,0,21.1,0.73,0.15,74.7,92.9,0.15,4.9,90,0.5,86.7,65.3,0.11,2.06,0.24,0.03,0.03
Joel Robles,ESP,GK,Betis,La Liga,30,1990,18,18,1620,18,0,0,0,0,0,0,0,19.7,62.8,0,0.06,33.1,0,0,15.1,0,0.11,0,0,0
Lauti,URU,MFFW,Celta Vigo,La Liga,19,2001,1,0,14,0.2,0,0,0,0,0,0,0,15,100,0,0,30,0,0,25,0,0,0,0,0
João Virgínia,POR,GK,Everton,Premier League,20,1999,1,0,48,0.5,0,0,0,0,0,0,0,18,52.9,0,0,38,0,0,20,0,0,0,0,0
Benoît Badiashile,FRA,DF,Monaco,Ligue 1,19,2001,35,32,2870,31.9,0.06,0.03,0.06,0.02,17.4,0.72,0.13,66.2,88.5,0.16,5.02,84.6,0.13,100,55.2,0,0.07,0,0,0
Alphonse Areola,FRA,GK,Fulham,Premier League,27,1993,36,36,3240,36,0,0,0,0,0,0,0,20.5,73.6,0,0,30.8,0,0,12.6,0,0.96,0.1,0.03,0.03
Nico Williams,ESP,MF,Athletic Club,La Liga,18,2002,2,0,57,0.6,0,0,0,0,0,1.58,0,18.3,55,0,0,41.7,3.33,100,31.7,3.33,0,0,0,0
Kenny Tete,NED,DF,Lyon,Ligue 1,24,1995,1,0,20,0.2,0,0,0,0,28.6,0.43,0.12,105,87.5,0,10,66.1,0.48,42.1,38.4,0.18,1.82,0.12,0,0
Ji Dong-won,KOR,FWDF,Mainz 05,Bundesliga,29,1991,6,0,62,0.7,0,0,0,0,0,0,0,21.4,55.6,0,2.86,42.9,0,0,12.9,0,2.86,0,0,0
Yassin Fortune,FRA,FW,Angers,Ligue 1,21,1999,1,0,15,0.2,0,0,0,0,0,0,0,15,75,0,0,25,0,0,20,0,0,0,0,0
Martin Ødegaard,NOR,MFFW,Real Madrid,La Liga,21,1998,7,3,234,2.6,0,0,0.04,0.15,0,1.15,0,56.5,84,0.77,3.46,72.7,0.38,100,51.5,0.38,2.31,0,0,0
Wojciech Szczęsny,POL,GK,Juventus,Seria A,30,1990,30,30,2677,29.7,0,0.03,0,0,0,0,0,30.6,89.7,0,0.03,36.2,0.07,100,19.8,0,0.07,0.07,0,0
Wes Morgan,JAM,DF,Leicester City,Premier League,36,1984,3,0,18,0.2,0,0,0,0,0,0,0,25,100,0,10,30,0,0,20,0,0,0,0,0
Sergi Gómez,ESP,DF,Sevilla,La Liga,28,1992,9,9,719,8,0,0,0,0,0,0.13,0,63.3,93.7,0,1.25,74.3,0,0,52.4,0,0,0,0,0
Rocco Reitz,GER,MF,M'Gladbach,Bundesliga,18,2002,2,1,60,0.7,0,0,0,0.14,0,0,0,50,81.4,0,4.29,78.6,2.86,100,55.7,0,4.29,0,0,0
Sebastian Rudy,GER,DF,Schalke 04,Bundesliga,30,1990,2,2,180,2,0,0,0,0.05,0,0.5,0,45.5,66.9,2.5,5,81,0.5,100,38.5,0,2,0,0,0
Andrés Fernández,ESP,GK,Huesca,La Liga,33,1986,16,16,1440,16,0,0,0,0,0,0,0,24.1,68.2,0,0,37.6,0.19,100,19.1,0,0,0,0,0
Fraser Forster,ENG,GK,Southampton,Premier League,32,1988,8,8,720,8,0,0,0,0,0,0,0,19.3,56.2,0,0,38.1,0,0,15.1,0,0,0,0,0
Edouard Mendy,SEN,GK,Rennes,Ligue 1,28,1992,1,1,90,1,0,0,0,0.1,0,0,0,24,82.8,0,0,34.4,0.03,100,19.6,0,0.1,0,0,0
Gerard Piqué,ESP,DF,Barcelona,La Liga,33,1987,18,18,1481,16.5,0,0,0.04,0.03,25,0.49,0.12,71.1,94.1,0.06,2.12,82.9,0.06,100,58.2,0,0.3,0.06,0,0
Fernando Pacheco,ESP,GK,Alavés,La Liga,28,1992,38,37,3349,37.2,0,0,0,0,0,0,0,20.2,69.5,0,0,31.6,0,0,11.9,0,0.08,0,0,0
Lee Peltier,ENG,DF,West Brom,Premier League,33,1986,4,3,229,2.5,0,0,0,0,0,0,0,19.2,63.2,0.8,0.8,40.8,0.4,100,20.8,0,0.8,0.4,0,0
Alessio Cragno,ITA,GK,Cagliari,Seria A,26,1994,34,34,3060,34,0,0,0,0.01,0,0,0,19.5,69,0,0,31,0,0,12.4,0,0.53,0.07,0,0
Benoît Costil,FRA,GK,Bordeaux,Ligue 1,33,1987,38,38,3420,38,0,0,0,0,0,0,0,24.4,69.8,0.03,0.03,37.5,0.05,100,17.8,0,0,0,0,0
Jasper Cillessen,NED,GK,Valencia,La Liga,31,1989,10,10,900,10,0,0,0,0,0,0,0,18.8,59.3,0,0,34.9,0,0,14.2,0,3.5,0.29,0,0
Marc Roca,ESP,MF,Bayern Munich,Bundesliga,23,1996,6,2,177,2,0,0,0.15,0,0,1.53,0,55.5,90.2,1.5,7.5,72.5,2.5,100,51.5,1,1,0,0,0
Michael Langer,AUT,GK,Schalke 04,Bundesliga,35,1985,3,2,239,2.7,0,0,0,0,0,0,0,18.5,65.8,0,0,33.7,0,0,11.9,0,0,0,0,0
Amad Diallo,CIV,MF,Atalanta,Seria A,18,2002,1,0,14,0.2,0,0,0,0.5,0,6.43,0,45,90,5,10,60,10,100,70,0,1.11,0.56,0,0
Jean-Louis Leca,FRA,GK,Lens,Ligue 1,34,1985,37,37,3313,36.8,0,0,0,0,0,0,0,19,67.8,0,0,30.2,0,0,13.3,0,0.14,0,0,0
Lorenzo Del Pinto,ITA,MF,Benevento,Seria A,30,1990,1,0,11,0.1,0,0,0,0,0,0,0,40,57.1,0,0,90,0,0,40,0,5.14,0.83,0.14,0
Yehvann Diouf,FRA,GK,Reims,Ligue 1,20,1999,2,1,135,1.5,0,0,0,0,0,0,0,26.7,76.9,0,0,34.7,0.67,100,17.3,0,0,0,0,0
Simone Scuffet,ITA,GK,Udinese,Seria A,24,1996,1,1,90,1,0,0,0,0,0,0,0,20,71.4,0,0,31,0,0,11,0,0,0,0,0
Daniel Maldini,ITA,FWMF,Milan,Seria A,18,2001,5,0,29,0.3,0,0,0.33,0,100,3.1,3.1,50,88.2,3.33,6.67,70,3.33,100,50,0,10,0,0,0
Robin Olsen,SWE,GK,Everton,Premier League,30,1990,7,7,630,7,0,0,0,0,0,0,0,20.3,71.4,0,0,30.7,0,0,11.1,0,0.14,0,0,0
