Player,Nation,Pos,Squad,Comp,Age,SimilarityScore
Eduardo Henrique,BRA,MF,Crotone,Seria A,25,54.08938794
Maxime Lopez,FRA,FWMF,Marseille,Ligue 1,22,54.07744454
Fabian Kunze,GER,MF,Arminia,Bundesliga,22,54.07732477
Luuk de Jong,NED,FW,Sevilla,La Liga,29,54.07131289
Maximilian Arnold,GER,MF,Wolfsburg,Bundesliga,26,54.046307
Facundo Pellistri,URU,MFFW,Alavés,La Liga,18,54.02909398
Dwight Gayle,ENG,FWMF,Newcastle Utd,Premier League,29,53.9871757
Charles Abi,FRA,FWMF,Saint-Étienne,Ligue 1,20,53.97744901
Dani García,ESP,MF,Athletic Club,La Liga,30,53.92552008
Milan Badelj,CRO,MF,Genoa,Seria A,31,53.90309663
Christian Eriksen,DEN,MF,Inter,Seria A,28,53.89364252
Kieran Trippier,ENG,DF,Atlético Madrid,La Liga,29,53.82555685
Mattia Destro,ITA,FW,Genoa,Seria A,29,53.8139848
Ryad Boudebouz,ALG,MFFW,Saint-Étienne,Ligue 1,30,53.79516692
Tammy Abraham,ENG,FW,Chelsea,Premier League,22,53.78661341
Maya Yoshida,JPN,DF,Sampdoria,Seria A,31,53.74307187
Domagoj Bradarić,CRO,DF,Lille,Ligue 1,20,53.71088789
Cristian Battocchio,ITA,MFFW,Brest,Ligue 1,28,53.70708045
Benjamin Mendy,FRA,DF,Manchester City,Premier League,26,53.67960277
Jon Bautista,ESP,FWMF,Real Sociedad,La Liga,25,53.66358775
Callum Wilson,ENG,FW,Newcastle Utd,Premier League,28,53.60388809
Florian Lejeune,FRA,DF,Alavés,La Liga,29,53.57906722
Guido Rodríguez,ARG,MF,Betis,La Liga,26,53.56944433
Mert Müldür,TUR,DF,Sassuolo,Seria A,21,53.56043174
Pedro Mosquera,ESP,MF,Huesca,La Liga,32,53.53011405
Valon Behrami,SUI,MF,Genoa,Seria A,35,53.53011405
Paul Lasne,FRA,MF,Brest,Ligue 1,31,53.52821932
Ivan Ilić,SRB,MF,Hellas Verona,Seria A,19,53.40698336
Mihai Dobre,ROU,FWMF,Dijon,Ligue 1,21,53.39890237
Jerry St. Juste,NED,DF,Mainz 05,Bundesliga,23,53.39153189
Stefano Okaka,ITA,FW,Udinese,Seria A,30,53.37516005
Maxi Gómez,URU,FW,Valencia,La Liga,23,53.34476235
Sergio Córdova,VEN,FWMF,Arminia,Bundesliga,22,53.31993359
Bruno González,ESP,DF,Valladolid,La Liga,30,53.31937875
Senou Coulibaly,MLI,DF,Dijon,Ligue 1,25,53.31234639
Édgar Méndez,ESP,MFFW,Alavés,La Liga,30,53.27866975
Chris Basham,ENG,DFMF,Sheffield Utd,Premier League,32,53.23341364
Morgan Schneiderlin,FRA,MF,Nice,Ligue 1,30,53.21730555
Mario Lemina,GAB,MF,Fulham,Premier League,26,53.18750381
Víctor Díaz,ESP,DF,Granada,La Liga,32,53.17249953
Rúben Neves,POR,MF,Wolves,Premier League,23,53.16971172
Sebastian Walukiewicz,POL,DF,Cagliari,Seria A,20,53.16803656
Enric Gallego,ESP,FW,Osasuna,La Liga,33,53.16031063
Maranhão,BRA,FW,Valladolid,La Liga,23,53.13760143
Lys Mousset,FRA,FWMF,Sheffield Utd,Premier League,24,53.1074025
José Mari,ESP,MF,Cádiz,La Liga,32,53.0581775
Thomas Mangani,FRA,MF,Angers,Ligue 1,33,53.05070182
Darko Brašanac,SRB,MF,Osasuna,La Liga,28,53.04131816
Adrian Grbić,AUT,FW,Lorient,Ligue 1,23,53.01643479
Idriss Saadi,ALG,FWMF,Strasbourg,Ligue 1,28,53.00160854
Isaac Carcelen,ESP,DF,Cádiz,La Liga,27,52.96933766
Kevin Lasagna,ITA,FW,Hellas Verona,Seria A,27,52.90896901
Pape Abou Cisse,SEN,DF,Saint-Étienne,Ligue 1,24,52.90695805
Míchel,ESP,MF,Valladolid,La Liga,32,52.86990982
Janik Haberer,GER,MFFW,Freiburg,Bundesliga,26,52.8573537
Andreas Cornelius,DEN,FW,Parma,Seria A,27,52.80606925
Gianluca Mancini,ITA,DF,Roma,Seria A,24,52.80341856
Nico Elvedi,SUI,DF,M'Gladbach,Bundesliga,23,52.80258905
Sven Schipplock,GER,FWMF,Arminia,Bundesliga,31,52.76306847
Philipp Klement,GER,MFFW,Stuttgart,Bundesliga,27,52.71066716
Marcelo,BRA,DF,Lyon,Ligue 1,33,52.66658369
Jacob Ramsey,ENG,MFFW,Aston Villa,Premier League,19,52.65007075
Martín Zubimendi,ESP,MF,Real Sociedad,La Liga,21,52.61712335
Ermedin Demirović,BIH,FW,Freiburg,Bundesliga,22,52.58378758
Clément Grenier,FRA,MF,Rennes,Ligue 1,29,52.57535135
Patrick Bamford,ENG,FW,Leeds United,Premier League,26,52.55448809
Dylan Bronn,TUN,DF,Metz,Ligue 1,25,52.51114447
André Hahn,GER,FWMF,Augsburg,Bundesliga,29,52.49294368
José Callejón,ESP,FWMF,Fiorentina,Seria A,33,52.45702996
Marcus Coco,FRA,MFFW,Nantes,Ligue 1,24,52.4126645
Paweł Dawidowicz,POL,DF,Hellas Verona,Seria A,25,52.36919379
Alejandro Blanco,ESP,MF,Valencia,La Liga,21,52.29559245
Jorge Pulido,ESP,DF,Huesca,La Liga,29,52.22711857
Arne Maier,GER,MF,Arminia,Bundesliga,21,52.22299088
Harry Winks,ENG,MF,Tottenham,Premier League,24,52.21849102
Xeka,POR,MF,Lille,Ligue 1,25,52.14854234
Dimitris Siovas,GRE,DF,Huesca,La Liga,31,52.13659644
Adolfo Gaich,ARG,FW,Benevento,Seria A,21,52.11050115
Diego Demme,GER,MF,Napoli,Seria A,28,52.10388325
Stefan Savić,MNE,DF,Atlético Madrid,La Liga,29,52.09898748
Rodrigo Becão,BRA,DF,Udinese,Seria A,24,52.05695462
Cheick Doucouré,MLI,MF,Lens,Ligue 1,20,52.03738018
Aurélien Tchouaméni,FRA,MF,Monaco,Ligue 1,20,52.02008441
Ozan Kabak,TUR,DF,Schalke 04,Bundesliga,20,51.98081425
Brain Oddei,ITA,FWMF,Sassuolo,Seria A,17,51.90736335
Pierre Højbjerg,DEN,MF,Tottenham,Premier League,24,51.86714428
Quique,ESP,FWMF,Eibar,La Liga,30,51.84342724
Yves Bissouma,MLI,MF,Brighton,Premier League,23,51.81526071
Jean-Philippe Krasso,FRA,FW,Saint-Étienne,Ligue 1,23,51.78461967
Rhian Brewster,ENG,FW,Sheffield Utd,Premier League,20,51.77399871
Borja Iglesias,ESP,FW,Betis,La Liga,27,51.74729749
Florian Niederlechner,GER,FW,Augsburg,Bundesliga,29,51.72955873
Sergio León,ESP,FW,Levante,La Liga,31,51.72346843
Bruno Ecuele Manga,GAB,DF,Dijon,Ligue 1,32,51.68276084
Youssef En-Nesyri,MAR,FW,Sevilla,La Liga,23,51.67557967
Luke Ayling,ENG,DF,Leeds United,Premier League,28,51.63337721
N'Golo Kanté,FRA,MF,Chelsea,Premier League,29,51.58826692
Victor Osimhen,NGA,FW,Napoli,Seria A,21,51.56761311
Carlos Akapo,EQG,DF,Cádiz,La Liga,27,51.50005258
Pietro Pellegri,ITA,FWMF,Monaco,Ligue 1,19,51.46306973
Danny da Costa,GER,DF,Mainz 05,Bundesliga,27,51.43461212
Cebio Soukou,BEN,FWMF,Arminia,Bundesliga,27,51.4301503
Kwadwo Asamoah,GHA,DFMF,Cagliari,Seria A,31,51.34303236
Álvaro Negredo,ESP,FW,Cádiz,La Liga,34,51.30283068
Sebastiano Luperto,ITA,DF,Crotone,Seria A,23,51.28491815
Sergio Canales,ESP,MFFW,Betis,La Liga,29,51.26588361
Ivan Rakitić,CRO,MF,Sevilla,La Liga,32,51.2522062
Lucas Vázquez,ESP,DFFW,Real Madrid,La Liga,29,51.22778045
Roberto Soldado,ESP,FW,Granada,La Liga,35,51.20250724
Javi Galán,ESP,DF,Huesca,La Liga,25,51.17266954
Colin Dagba,FRA,DF,Paris S-G,Ligue 1,21,51.1636795
Luis Rojas,CHI,MFFW,Crotone,Seria A,18,51.10066974
Leon Dajaku,GER,FW,Union Berlin,Bundesliga,19,51.01218519
Jhon Córdoba,COL,FW,Hertha BSC,Bundesliga,27,50.99587364
Ermin Bičakčić,BIH,DF,Hoffenheim,Bundesliga,30,50.99313926
Declan Rice,ENG,MF,West Ham,Premier League,21,50.99055499
Joe Willock,ENG,MF,Arsenal,Premier League,20,50.98930321
Paul Nebel,GER,MFFW,Mainz 05,Bundesliga,17,50.98123625
Samir Santos,BRA,DF,Udinese,Seria A,25,50.94878085
Victor Mollejo,ESP,MFDF,Getafe,La Liga,19,50.89891142
Jonathan Panzo,ENG,DF,Dijon,Ligue 1,19,50.89192734
Franck Kessié,CIV,MF,Milan,Seria A,23,50.80783802
Luca Siligardi,ITA,FWMF,Parma,Seria A,32,50.80767946
Neeskens Kebano,COD,FWMF,Fulham,Premier League,28,50.67122037
Sinaly Diomande,CIV,DF,Lyon,Ligue 1,19,50.64142729
Luis Javier Suárez,COL,FWMF,Granada,La Liga,22,50.61068132
Fabien Lemoine,FRA,MF,Lorient,Ligue 1,33,50.60754511
Alireza Jahanbakhsh,IRN,FWMF,Brighton,Premier League,26,50.60692053
Giangiacomo Magnani,ITA,DF,Hellas Verona,Seria A,24,50.60517132
Tiemoué Bakayoko,FRA,MF,Napoli,Seria A,25,50.5907286
Michel Vlap,NED,MFFW,Arminia,Bundesliga,23,50.4909988
Asier Villalibre,ESP,FW,Athletic Club,La Liga,22,50.48015044
Arturo Vidal,CHI,MF,Inter,Seria A,33,50.46606719
Danilo Cataldi,ITA,MF,Lazio,Seria A,25,50.43413876
Andy Carroll,ENG,FW,Newcastle Utd,Premier League,31,50.40605985
Marko Rog,CRO,MF,Cagliari,Seria A,25,50.39222843
Gennaro Acampora,ITA,MFFW,Spezia,Seria A,26,50.30156441
Paul Baysse,FRA,DF,Bordeaux,Ligue 1,32,50.26600056
Marten de Roon,NED,MF,Atalanta,Seria A,29,50.20273401
Anthony Lozano,HON,FWMF,Cádiz,La Liga,27,50.17600879
Mitchell Dijks,NED,DF,Bologna,Seria A,27,50.15899479
Manolo Portanova,ITA,DFMF,Genoa,Seria A,20,50.15583785
Sebastian Griesbeck,GER,MF,Union Berlin,Bundesliga,29,50.15479963
Cheick Doukouré,CIV,MF,Levante,La Liga,27,50.08189006
Diadie Samassékou,MLI,MF,Hoffenheim,Bundesliga,24,50.05646588
Niels Nkounkou,FRA,DFFW,Everton,Premier League,19,50.00858274
Kevin Strootman,NED,MF,Marseille,Ligue 1,30,49.99773405
Gonzalo Verdú,ESP,DF,Elche,La Liga,31,49.97772696
Luca Pellegrini,ITA,DFMF,Genoa,Seria A,21,49.9642268
Marco John,GER,DF,Hoffenheim,Bundesliga,18,49.91529874
Aurélien Scheidler,FRA,FW,Dijon,Ligue 1,22,49.84944168
Oliver Norwood,NIR,MF,Sheffield Utd,Premier League,29,49.83789578
Danny da Costa,GER,DF,Eint Frankfurt,Bundesliga,27,49.73694001
Toño,ESP,DF,Levante,La Liga,30,49.71234645
Jesús Navas,ESP,DF,Sevilla,La Liga,34,49.68307243
Jonny Castro,ESP,DF,Wolves,Premier League,26,49.66978442
Bryan Reynolds,USA,DF,Roma,Seria A,19,49.65947656
Alexander Hack,GER,DF,Mainz 05,Bundesliga,26,49.63900319
Matteo Ruggeri,ITA,DF,Atalanta,Seria A,18,49.62393525
Carlos Neva,ESP,DF,Granada,La Liga,24,49.57936434
Nils Petersen,GER,FW,Freiburg,Bundesliga,31,49.53123937
Wilfred Ndidi,NGA,MFDF,Leicester City,Premier League,23,49.49575463
Andrea Carboni,ITA,DF,Cagliari,Seria A,19,49.47395424
Óliver Torres,ESP,MFFW,Sevilla,La Liga,25,49.45275477
Davy Pröpper,NED,MF,Brighton,Premier League,28,49.3984101
Renato Tapia,PER,MF,Celta Vigo,La Liga,25,49.38141744
Luca Caldirola,ITA,DF,Benevento,Seria A,29,49.33205945
Jacopo Dezi,ITA,FWMF,Parma,Seria A,28,49.31024857
Matěj Vydra,CZE,FW,Burnley,Premier League,28,49.28610447
Mohamed Elneny,EGY,MF,Arsenal,Premier League,28,49.26189203
Keagan Dolly,RSA,MF,Montpellier,Ligue 1,27,49.17652904
Olivier Ntcham,FRA,MF,Marseille,Ligue 1,24,49.1259919
Karim Aribi,ALG,FW,Nîmes,Ligue 1,26,49.09493935
Bastian Oczipka,GER,DF,Schalke 04,Bundesliga,31,49.07908877
Erick Pulgar,CHI,MF,Fiorentina,Seria A,26,49.06700578
Kalifa Coulibaly,MLI,FW,Nantes,Ligue 1,28,49.06346694
Alex Telles,BRA,DF,Manchester Utd,Premier League,27,49.06017177
Enzo Millot,FRA,MF,Monaco,Ligue 1,18,49.05634485
Kaj Sierhuis,NED,FW,Reims,Ligue 1,22,49.0373941
Vicente Esquerdo,ESP,MF,Valencia,La Liga,21,49.03609807
Robson Bambu,BRA,DF,Nice,Ligue 1,22,49.0323897
Oier Zarraga,ESP,MF,Athletic Club,La Liga,21,49.01787078
Matteo Darmian,ITA,DF,Parma,Seria A,30,48.95566535
Romaine Sawyers,SKN,MF,West Brom,Premier League,28,48.94878944
Anthony Gordon,ENG,FWMF,Everton,Premier League,19,48.94383779
Jacopo Petriccione,ITA,MF,Crotone,Seria A,25,48.94200356
Aníbal Chalá,ECU,DF,Dijon,Ligue 1,24,48.9416099
Yuto Nagatomo,JPN,DF,Marseille,Ligue 1,33,48.93717301
Matthias Ginter,GER,DF,M'Gladbach,Bundesliga,26,48.89341921
Ki-Jana Hoever,NED,DF,Wolves,Premier League,18,48.87995207
Shon Weissman,ISR,FW,Valladolid,La Liga,24,48.87205656
Edoardo Goldaniga,ITA,DF,Genoa,Seria A,26,48.74691717
Yıldırım Mert Çetin,TUR,DF,Hellas Verona,Seria A,23,48.73045056
Gianluca Lapadula,PER,FW,Benevento,Seria A,30,48.71024761
Bryan Cristante,ITA,DFMF,Roma,Seria A,25,48.70834766
Fernando Llorente,ESP,FW,Udinese,Seria A,35,48.69923782
Radja Nainggolan,BEL,MF,Inter,Seria A,32,48.69350626
Pau Torres,ESP,DF,Villarreal,La Liga,23,48.61824156
Layvin Kurzawa,FRA,DF,Paris S-G,Ligue 1,27,48.61653476
Christian Groß,GER,MFDF,Werder Bremen,Bundesliga,31,48.56828216
Felix Klaus,GER,DFMF,Wolfsburg,Bundesliga,27,48.56584987
Marquinhos,BRA,DF,Paris S-G,Ligue 1,26,48.54556968
Jordan Marié,FRA,MF,Dijon,Ligue 1,28,48.5106846
Albin Ekdal,SWE,MF,Sampdoria,Seria A,31,48.49561669
Nelson Sissoko,FRA,DF,Saint-Étienne,Ligue 1,23,48.46250879
Milan Škriniar,SVK,DF,Inter,Seria A,25,48.42329014
Ben White,ENG,DFMF,Brighton,Premier League,22,48.38924724
Harold Moukoudi,CMR,DF,Saint-Étienne,Ligue 1,22,48.35733063
Marin Pongračić,CRO,DF,Wolfsburg,Bundesliga,22,48.35498185
Reinhold Yabo,GER,MFFW,Arminia,Bundesliga,28,48.34477471
Petar Musa,CRO,FW,Union Berlin,Bundesliga,22,48.33854435
Cala,ESP,DF,Cádiz,La Liga,30,48.32950068
Mohammed Salisu,GHA,DF,Southampton,Premier League,21,48.31244347
Gonzalo Escalante,ARG,MF,Lazio,Seria A,27,48.30595586
Aimen Moueffek,FRA,DFMF,Saint-Étienne,Ligue 1,19,48.27933005
Davide Biraschi,ITA,DF,Genoa,Seria A,26,48.27169924
Mads Pedersen,DEN,DF,Augsburg,Bundesliga,23,48.26218308
Ben Davies,WAL,DF,Tottenham,Premier League,27,48.24899711
Marcos Acuña,ARG,DF,Sevilla,La Liga,28,48.23872104
Robin Le Normand,FRA,DF,Real Sociedad,La Liga,23,48.23838584
Dedryck Boyata,BEL,DF,Hertha BSC,Bundesliga,29,48.23687606
Nicolò Rovella,ITA,MF,Genoa,Seria A,18,48.21439389
Willian José,BRA,FW,Wolves,Premier League,28,48.20340262
Rodrigo,ESP,FWMF,Betis,La Liga,20,48.17407888
Umut Bozok,TUR,FWMF,Lorient,Ligue 1,23,48.12095992
Jonathan Delaplace,FRA,DF,Lorient,Ligue 1,34,48.1170076
Xaver Schlager,AUT,MF,Wolfsburg,Bundesliga,22,48.1140838
Yoshinori Mutō,JPN,FWMF,Eibar,La Liga,28,48.0949829
Rúben Vinagre,POR,DF,Wolves,Premier League,21,48.06199754
Yan Brice Eteki,CMR,MF,Granada,La Liga,22,48.04025885
Marvin Plattenhardt,GER,DF,Hertha BSC,Bundesliga,28,48.03521
Kévin N'Doram,FRA,MF,Metz,Ligue 1,24,48.0098317
Nicolás Domínguez,ARG,MF,Bologna,Seria A,22,48.00526854
Eddy Sylvestre,FRA,FWMF,Nice,Ligue 1,20,47.99584151
Ronald Araújo,URU,DF,Barcelona,La Liga,21,47.97606032
Jean-Daniel Akpa-Akpro,CIV,MF,Lazio,Seria A,27,47.96738042
Rodrigo Bentancur,URU,MF,Juventus,Seria A,23,47.94266334
Facundo Ferreyra,ARG,FW,Celta Vigo,La Liga,29,47.90894607
Julien Laporte,FRA,DF,Lorient,Ligue 1,26,47.90464992
Çağlar Söyüncü,TUR,DF,Leicester City,Premier League,24,47.86724158
Houboulang Mendes,FRA,DF,Lorient,Ligue 1,22,47.86359621
Antonio Barreca,ITA,DF,Fiorentina,Seria A,25,47.85598404
Philippe Coutinho,BRA,MFFW,Barcelona,La Liga,28,47.85485641
Lyanco,BRA,DF,Torino,Seria A,23,47.81593059
Leo Dubois,FRA,DF,Lyon,Ligue 1,25,47.80819126
Keven Schlotterbeck,GER,DF,Freiburg,Bundesliga,23,47.80079886
Neymar,BRA,MFFW,Paris S-G,Ligue 1,28,47.79652502
Oliver Burke,SCO,FW,Sheffield Utd,Premier League,23,47.76297482
Daam Foulon,BEL,DF,Benevento,Seria A,21,47.73969001
Andri Fannar Baldursson,ISL,MF,Bologna,Seria A,18,47.7354537
Bobby Adekanye,NED,FWMF,Cádiz,La Liga,21,47.71633429
Cifu,ESP,DF,Elche,La Liga,29,47.69387416
Florian Hübner,GER,DF,Union Berlin,Bundesliga,29,47.69336467
Kévin Monnet-Paquet,FRA,MFFW,Saint-Étienne,Ligue 1,31,47.68205375
Stefano Sturaro,ITA,MF,Genoa,Seria A,27,47.66569099
Fred,BRA,MF,Manchester Utd,Premier League,27,47.61162343
James Tarkowski,ENG,DF,Burnley,Premier League,27,47.57456247
Mariano,DOM,FW,Real Madrid,La Liga,26,47.53746194
Antonio Barragán,ESP,DF,Elche,La Liga,33,47.53627825
Lewis Dunk,ENG,DF,Brighton,Premier League,28,47.52891939
Kilian Ludewig,GER,DF,Schalke 04,Bundesliga,20,47.52199604
Salif Sané,SEN,DF,Schalke 04,Bundesliga,29,47.42149203
Riccardo Marchizza,ITA,DF,Spezia,Seria A,22,47.39259748
Mark Noble,ENG,MF,West Ham,Premier League,33,47.37837232
Mahmoud Dahoud,GER,MF,Dortmund,Bundesliga,24,47.34727642
Koke,ESP,MF,Atlético Madrid,La Liga,28,47.3344268
Oriol Romeu,ESP,MF,Southampton,Premier League,28,47.28082038
Issouf Sissokho,MLI,MF,Bordeaux,Ligue 1,18,47.27927542
Billy Sharp,ENG,FW,Sheffield Utd,Premier League,34,47.23292883
Loren Morón,ESP,FWMF,Betis,La Liga,26,47.21560174
Pol Lirola,ESP,DFFW,Fiorentina,Seria A,22,47.16771252
Lazar Samardzic,GER,MFFW,RB Leipzig,Bundesliga,18,47.16012964
Pedro López Muñoz,ESP,DF,Huesca,La Liga,36,47.15709508
Conor Hourihane,IRL,MF,Aston Villa,Premier League,29,47.15146833
Andy Pelmard,FRA,DF,Nice,Ligue 1,20,47.14118427
Steven Skrzybski,GER,FWDF,Schalke 04,Bundesliga,27,47.12543239
Willem Geubbels,FRA,FWMF,Monaco,Ligue 1,18,47.088557
Florian Grillitsch,AUT,MFDF,Hoffenheim,Bundesliga,24,47.01452746
Ibrahima Traoré,GUI,FWDF,M'Gladbach,Bundesliga,32,46.94933836
Łukasz Piszczek,POL,DF,Dortmund,Bundesliga,35,46.94389196
Kevin Vázquez,ESP,DF,Celta Vigo,La Liga,27,46.92680243
Naby Keïta,GUI,MF,Liverpool,Premier League,25,46.882918
Matteo Lovato,ITA,DF,Hellas Verona,Seria A,20,46.84066686
Federico Fernández,ARG,DF,Newcastle Utd,Premier League,31,46.83159115
Nathan de Medina,BEL,DF,Arminia,Bundesliga,22,46.804425
Wout Faes,BEL,DF,Reims,Ligue 1,22,46.78234503
Vincent Laurini,FRA,DF,Parma,Seria A,31,46.78170146
Martin Agirregabiria,ESP,DFMF,Alavés,La Liga,24,46.76590003
Giuseppe Mastinu,ITA,FWMF,Spezia,Seria A,28,46.66556741
Paolo Faragò,ITA,DF,Bologna,Seria A,27,46.64377356
Gaëtan Paquiez,FRA,DF,Nîmes,Ligue 1,26,46.63773524
Federico Fazio,ARG,DF,Roma,Seria A,33,46.6232204
Diego Costa,ESP,FW,Atlético Madrid,La Liga,31,46.57329881
Lukas Klünter,GER,DF,Hertha BSC,Bundesliga,24,46.57200827
Matt Ritchie,SCO,DFMF,Newcastle Utd,Premier League,30,46.51163771
Owen Otasowie,USA,MFFW,Wolves,Premier League,19,46.50859228
Deyverson,BRA,FW,Alavés,La Liga,29,46.49268742
Yassine Benzia,ALG,MFFW,Dijon,Ligue 1,25,46.45383954
Alex Ferrari,ITA,DF,Sampdoria,Seria A,26,46.38207762
Francisco Portillo,ESP,MFFW,Getafe,La Liga,30,46.37604174
Niko Gießelmann,GER,DF,Union Berlin,Bundesliga,28,46.36798717
Bridge Ndilu,FRA,MFFW,Nantes,Ligue 1,20,46.30499092
Christian Gentner,GER,MF,Union Berlin,Bundesliga,34,46.3017477
Atakan Karazor,GER,DFMF,Stuttgart,Bundesliga,23,46.26319232
Víctor Laguardia,ESP,DF,Alavés,La Liga,30,46.21062651
Martín Montoya,ESP,DF,Betis,La Liga,29,46.19942937
Jon Ander Garrido,ESP,MF,Cádiz,La Liga,30,46.18259296
Juan Sánchez Miño,ARG,DFMF,Elche,La Liga,30,46.13924713
Matthijs de Ligt,NED,DF,Juventus,Seria A,20,46.08112946
Wendell,BRA,DF,Leverkusen,Bundesliga,27,46.07795071
Jamie Vardy,ENG,FW,Leicester City,Premier League,33,46.06549806
Maxence Lacroix,FRA,DF,Wolfsburg,Bundesliga,20,46.05237262
Jason,ESP,MFDF,Valencia,La Liga,26,46.03666152
Denis Odoi,BEL,DF,Fulham,Premier League,32,46.03193722
Dennis Appiah,FRA,DF,Nantes,Ligue 1,28,46.02836023
Darko Churlinov,MKD,DFFW,Stuttgart,Bundesliga,20,45.95001203
Yeray Álvarez,ESP,DF,Athletic Club,La Liga,25,45.88679366
Wilitty Younoussa,CMR,MFDF,Dijon,Ligue 1,18,45.88072155
Paco Alcácer,ESP,FW,Villarreal,La Liga,26,45.87684876
Casimir Ninga,CHA,FW,Angers,Ligue 1,27,45.82745252
Lorenzo Venuti,ITA,DF,Fiorentina,Seria A,25,45.82352909
Jamie Shackleton,ENG,MFDF,Leeds United,Premier League,20,45.81283916
Ambroise Oyongo,CMR,DF,Montpellier,Ligue 1,29,45.77930008
Rafa Soares,POR,DF,Eibar,La Liga,25,45.7743013
Javier Manquillo,ESP,DF,Newcastle Utd,Premier League,26,45.71941139
Jack Cork,ENG,MF,Burnley,Premier League,31,45.68237579
M'Baye Niang,SEN,FW,Rennes,Ligue 1,25,45.6805799
Luis Pérez,ESP,DF,Valladolid,La Liga,25,45.62788123
Pierre Kunde,CMR,MF,Mainz 05,Bundesliga,25,45.61145709
Kenan Kodro,BIH,FWMF,Athletic Club,La Liga,26,45.55959129
Mohamed Ali Cho,FRA,FWMF,Angers,Ligue 1,16,45.54453655
Amad Diallo,CIV,FW,Manchester Utd,Premier League,18,45.51475429
Axel Witsel,BEL,MF,Dortmund,Bundesliga,31,45.48021552
Miloš Veljković,SRB,DF,Werder Bremen,Bundesliga,24,45.45536598
Fabián Ruiz Peña,ESP,MF,Napoli,Seria A,24,45.4504308
Nicolas Cozza,FRA,DF,Montpellier,Ligue 1,21,45.44166058
Alfred Duncan,GHA,MF,Cagliari,Seria A,27,45.4117247
Ismaëlben Boura,FRA,DF,Lens,Ligue 1,19,45.40782474
Francesco Cassata,ITA,DFMF,Genoa,Seria A,23,45.40507624
Lucas Digne,FRA,DF,Everton,Premier League,27,45.38570608
Lino Tempelmann,GER,MFDF,Freiburg,Bundesliga,21,45.37209321
Jóan Símun Edmundsson,FRO,MFFW,Arminia,Bundesliga,29,45.35088015
Nikola Vukčević,MNE,MF,Levante,La Liga,28,45.27887702
Reiss Nelson,ENG,FW,Arsenal,Premier League,20,45.23889428
Filip Krovinović,CRO,MF,West Brom,Premier League,24,45.18937512
Tom Lacoux,FRA,MF,Bordeaux,Ligue 1,18,45.162418
Ibrahima Mbaye,SEN,DF,Bologna,Seria A,25,45.14161596
Melvin Bard,FRA,DF,Lyon,Ligue 1,19,45.10385077
Kévin Malcuit,MAR,MFFW,Napoli,Seria A,29,45.05998362
Christian Oliva,URU,MF,Valencia,La Liga,24,45.02133868
Borja Valero,ESP,MFFW,Fiorentina,Seria A,35,44.94735701
Fikayo Tomori,ENG,DF,Milan,Seria A,22,44.90249189
Pape Cheikh Diop,SEN,MF,Dijon,Ligue 1,22,44.88902741
Kwon Chang-hoon,KOR,MFFW,Freiburg,Bundesliga,26,44.87598346
Andrea Masiello,ITA,DF,Genoa,Seria A,34,44.85994106
Lucien Agoume,FRA,MF,Spezia,Seria A,18,44.84188818
Sofiane Alakouch,FRA,DF,Nîmes,Ligue 1,22,44.83372316
Alex Baena,ESP,MF,Villarreal,La Liga,19,44.8190223
Tyler Adams,USA,DFMF,RB Leipzig,Bundesliga,21,44.80096468
Deyovaisio Zeefuik,NED,DFMF,Hertha BSC,Bundesliga,22,44.79449575
Moreto Cassamã,GNB,MF,Reims,Ligue 1,22,44.77913166
Wesley Fofana,FRA,DF,Saint-Étienne,Ligue 1,19,44.73966793
Stefan Bell,GER,DF,Mainz 05,Bundesliga,28,44.71836924
Haris Belkebla,ALG,MF,Brest,Ligue 1,26,44.6972686
Julian Ryerson,NOR,DFMF,Union Berlin,Bundesliga,22,44.69593595
Giuseppe Cuomo,ITA,DF,Crotone,Seria A,22,44.61542814
Craig Dawson,ENG,DF,West Ham,Premier League,30,44.6116682
Javi López,ESP,DFMF,Alavés,La Liga,18,44.60545604
Juan Cuadrado,COL,DFMF,Juventus,Seria A,32,44.60137457
Mehmet-Can Aydin,GER,DF,Schalke 04,Bundesliga,18,44.5716264
Helibelton Palacios,COL,DF,Elche,La Liga,27,44.5288228
Lukas Klostermann,GER,DF,RB Leipzig,Bundesliga,24,44.49905586
Stéphane Diarra,FRA,FWMF,Lorient,Ligue 1,21,44.47974514
Bosko Sutalo,CRO,DF,Atalanta,Seria A,20,44.42712442
Rob Holding,ENG,DF,Arsenal,Premier League,24,44.42636057
Adam Ounas,ALG,FWMF,Crotone,Seria A,23,44.4191166
Lionel Messi,ARG,FWMF,Barcelona,La Liga,33,44.38546863
Daniel Jebbison,ENG,FW,Sheffield Utd,Premier League,17,44.31050907
Christian Maggio,ITA,DF,Benevento,Seria A,38,44.30520042
Alexis Flips,FRA,MF,Reims,Ligue 1,20,44.28040111
Rolando Mandragora,ITA,MF,Udinese,Seria A,23,44.23854557
Benno Schmitz,GER,DF,Köln,Bundesliga,25,44.15602002
Rafa Mir,ESP,FW,Huesca,La Liga,23,44.13993734
Manolo Portanova,ITA,FWMF,Juventus,Seria A,20,44.12869162
Konrad Laimer,AUT,DFFW,RB Leipzig,Bundesliga,23,44.00804701
Alessandro Tripaldelli,ITA,DF,Cagliari,Seria A,21,43.97776156
Aarón Martín,ESP,DF,Celta Vigo,La Liga,23,43.97413544
