Player,Nation,Pos,Squad,Comp,Age,SimilarityScore
Nicolas Pallois,FRA,DF,Nantes,Ligue 1,32,72.26068133
Michael Keane,ENG,DF,Everton,Premier League,27,72.23746409
Bruno Alves,POR,DF,Parma,Seria A,38,72.22241371
Diogo Dalot,POR,DF,Milan,Seria A,21,72.21426985
Ivan Cavaleiro,POR,FWMF,Fulham,Premier League,26,72.20784283
Gaëtan Charbonnier,FRA,MFFW,Brest,Ligue 1,31,72.2055797
Tomáš Souček,CZE,MF,West Ham,Premier League,25,72.17847057
Dani Olmo,ESP,MFFW,RB Leipzig,Bundesliga,22,72.07203731
Ivan Perišić,CRO,DFFW,Inter,Seria A,31,72.06591867
Martinelli,BRA,FW,Arsenal,Premier League,19,72.06221913
Cedric Teuchert,GER,FWMF,Union Berlin,Bundesliga,23,72.04781583
Álvaro Odriozola,ESP,DF,Real Madrid,La Liga,24,72.02280929
Ryan Fraser,SCO,FWMF,Newcastle Utd,Premier League,26,72.01430187
Jorge de Frutos,ESP,MFFW,Levante,La Liga,23,72.00373596
Haris Duljević,BIH,MFFW,Nîmes,Ligue 1,26,71.98300694
Denis Bouanga,GAB,MFFW,Saint-Étienne,Ligue 1,25,71.96715141
Matt Phillips,SCO,MFFW,West Brom,Premier League,29,71.94539254
Alberto Soro,ESP,FWMF,Granada,La Liga,21,71.9344446
Grégoire Defrel,MTQ,FWMF,Sassuolo,Seria A,29,71.89571563
Borja Sainz,ESP,MFFW,Alavés,La Liga,19,71.84272563
Takumi Minamino,JPN,MFFW,Southampton,Premier League,25,71.72471928
Tyler Roberts,WAL,MFFW,Leeds United,Premier League,21,71.7186139
Lucas Olaza,URU,DF,Celta Vigo,La Liga,26,71.68325937
Filip Đuričić,SRB,MFFW,Sassuolo,Seria A,28,71.67930792
Alberto Grassi,ITA,MFDF,Parma,Seria A,25,71.61167493
Marcus Ingvartsen,DEN,MFFW,Union Berlin,Bundesliga,24,71.59877467
Jasmin Kurtić,SVN,MF,Parma,Seria A,31,71.59443012
Hiroki Sakai,JPN,DF,Marseille,Ligue 1,30,71.58233296
Philipp Lienhart,AUT,DF,Freiburg,Bundesliga,24,71.57344551
Takashi Inui,JPN,MFFW,Eibar,La Liga,32,71.55958334
Jeffrey Schlupp,GHA,MF,Crystal Palace,Premier League,27,71.55662467
José Luis Morales,ESP,FWMF,Levante,La Liga,33,71.53230603
Mikel Balenziaga,ESP,DF,Athletic Club,La Liga,32,71.52396973
Cristian Romero,ARG,DF,Atalanta,Seria A,22,71.49902984
Saîf-Eddine Khaoui,TUN,FWMF,Marseille,Ligue 1,25,71.45964786
Martin Terrier,FRA,FWMF,Rennes,Ligue 1,23,71.45000876
Charlie Taylor,ENG,DF,Burnley,Premier League,26,71.38668841
Roberto Soriano,ITA,MF,Bologna,Seria A,29,71.3736485
Moses Simon,NGA,FWMF,Nantes,Ligue 1,25,71.34772435
Flavien Tait,FRA,MFFW,Rennes,Ligue 1,27,71.34567223
Wataru Endo,JPN,MF,Stuttgart,Bundesliga,27,71.33884161
Otávio,BRA,MF,Bordeaux,Ligue 1,26,71.334144
José María Giménez,URU,DF,Atlético Madrid,La Liga,25,71.30049129
Thierry Correia,POR,DF,Valencia,La Liga,21,71.29994077
James Justin,ENG,DF,Leicester City,Premier League,22,71.29489592
Yassine Benrahou,FRA,MF,Nîmes,Ligue 1,21,71.28986068
Stuart Dallas,NIR,DFMF,Leeds United,Premier League,29,71.28157386
Miloš Vulić,SRB,MF,Crotone,Seria A,23,71.26397209
Patrick Herrmann,GER,FW,M'Gladbach,Bundesliga,29,71.23889432
Hélder Costa,POR,MFFW,Leeds United,Premier League,26,71.20996874
László Bénes,SVK,MFFW,Augsburg,Bundesliga,22,71.1983872
Omar Colley,GAM,DF,Sampdoria,Seria A,27,71.1976251
Jonathan Burkardt,GER,FWDF,Mainz 05,Bundesliga,20,71.18018043
Dodi Lukebakio,BEL,FWMF,Hertha BSC,Bundesliga,22,71.15125999
Simone Verdi,ITA,MFFW,Torino,Seria A,28,71.1441739
Jens Petter Hauge,NOR,FWMF,Milan,Seria A,20,71.13526026
Aleix García,ESP,MF,Eibar,La Liga,23,71.12102668
Daniel Caligiuri,ITA,MFDF,Augsburg,Bundesliga,32,71.09840835
Rade Krunić,BIH,MFFW,Milan,Seria A,26,71.09549516
Jakub Moder,POL,DFMF,Brighton,Premier League,21,71.05783698
Lucas Boyé,ARG,FW,Elche,La Liga,24,71.04796035
Maxwel Cornet,CIV,DFFW,Lyon,Ligue 1,23,71.01097622
Gianluca Frabotta,ITA,DF,Juventus,Seria A,21,71.00486765
Pierre Lees-Melou,FRA,MF,Nice,Ligue 1,27,70.99422644
Andrea Rispoli,ITA,DF,Crotone,Seria A,31,70.99150469
Roberto Gagliardini,ITA,MF,Inter,Seria A,26,70.9530036
Elvis Rexhbeçaj,GER,MFFW,Köln,Bundesliga,22,70.89848801
Lionel Carole,FRA,DF,Strasbourg,Ligue 1,29,70.87776279
Davide Faraoni,ITA,DF,Hellas Verona,Seria A,28,70.85253527
Carlos Fernández,ESP,FWMF,Real Sociedad,La Liga,24,70.83859228
Alberto Cerri,ITA,FWMF,Cagliari,Seria A,24,70.81980123
Stuart Armstrong,SCO,MF,Southampton,Premier League,28,70.76754201
Rodrygo,BRA,FW,Real Madrid,La Liga,19,70.75849525
Nehuén Paz,ARG,DF,Bologna,Seria A,27,70.75334549
Robert Lewandowski,POL,FW,Bayern Munich,Bundesliga,31,70.72150277
Gonzalo Melero,ESP,MFFW,Levante,La Liga,26,70.67050461
Krepin Diatta,SEN,MFDF,Monaco,Ligue 1,21,70.66535495
Steven Alzate,COL,MFDF,Brighton,Premier League,21,70.64941227
Karim Bellarabi,GER,FWMF,Leverkusen,Bundesliga,30,70.63305089
Paulo Otávio,BRA,DF,Wolfsburg,Bundesliga,25,70.62200483
Hatem Ben Arfa,FRA,MFFW,Bordeaux,Ligue 1,33,70.60364989
Ryan Fredericks,ENG,DFFW,West Ham,Premier League,27,70.5865252
Mathias Pereira Lage,POR,FWMF,Angers,Ligue 1,23,70.57925052
Domingos Quina,POR,MF,Granada,La Liga,20,70.53425718
Adnan Januzaj,BEL,FWMF,Real Sociedad,La Liga,25,70.50987284
Ömer Toprak,TUR,DF,Werder Bremen,Bundesliga,31,70.46714372
Eldor Shomurodov,UZB,FW,Genoa,Seria A,25,70.45882365
Daniele Baselli,ITA,MF,Torino,Seria A,28,70.43288313
Keita Baldé,SEN,FW,Sampdoria,Seria A,25,70.42458284
Marcus Thuram,FRA,FW,M'Gladbach,Bundesliga,22,70.42362091
Rolando Mandragora,ITA,MF,Torino,Seria A,23,70.42029919
Álex Fernández,ESP,MF,Cádiz,La Liga,27,70.4055664
Allan Saint-Maximin,FRA,FWMF,Newcastle Utd,Premier League,23,70.3355263
Quini,ESP,DF,Granada,La Liga,30,70.30512165
Ander Barrenetxea,ESP,MFFW,Real Sociedad,La Liga,18,70.27379607
Kalvin Phillips,ENG,MF,Leeds United,Premier League,24,70.2210796
Daichi Kamada,JPN,MFFW,Eint Frankfurt,Bundesliga,23,70.19656899
Zlatan Ibrahimović,SWE,FW,Milan,Seria A,38,70.17637178
Matías Vecino,URU,MF,Inter,Seria A,28,70.15290969
Iago,BRA,DF,Augsburg,Bundesliga,23,70.13352716
Mounir Chouiar,FRA,FWMF,Dijon,Ligue 1,21,70.13120357
Dries Mertens,BEL,FWMF,Napoli,Seria A,33,70.10091473
Dejan Kulusevski,SWE,MFFW,Juventus,Seria A,20,70.0751274
Birger Meling,NOR,DF,Nîmes,Ligue 1,25,70.02018179
Sergej Milinković-Savić,SRB,MF,Lazio,Seria A,25,70.01609765
Jacopo Segre,ITA,MF,Torino,Seria A,23,70.00818278
Yunis Abdelhamid,MAR,DF,Reims,Ligue 1,32,69.98826729
Jordan Amavi,FRA,DF,Marseille,Ligue 1,26,69.98390432
